series,pubCohort,wgDum,rfcDum,filesize,n_author,n_affil,usAuth,forAuth,n_com,n_edu,n_gov,n_net,n_org,priorwgc,rfcKeyCnt,patCites,rfcCites,rfcPages,pubCites,backCites,stBackCites,nsBackCites,cumWgOrg2,techarea,cummsgs,ttlmsg1yr,ttlusr1yr,ttlafl1yr,areaCumUsrs,areaCumAfls,areaUsrGrowth,areaAflGrowth,cummsgs_all,age,exiType,exprfc,inforfc,strfc,nsrfc
58,1995,1,0,20260,1,1,1,0,0,1,0,0,0,0,0,0,0,,0,,,,6,"sec",2040,1312,265,204,1290,1087,343,308,2217,2,2,0,0,0,0
59,2002,1,1,51091,5,2,1,0,2,0,0,0,0,1,46,0,0,28,0,10,8,2,5,"tsv",1511,334,111,87,18053,14240,5441,4023,2120,10,4,0,0,1,0
60,1999,0,0,42770,2,1,1,0,1,0,0,0,0,1,0,0,0,,0,,,,110,"none",,,,,,,,,,1,2,0,0,0,0
61,1999,0,0,267813,5,4,1,0,4,0,0,0,0,1,4,0,0,,0,,,,110,"none",,,,,,,,,,1,2,0,0,0,0
62,1997,1,1,43595,2,2,1,1,1,1,0,0,0,0,33,2,10,28,0,21,16,5,2,"app",,,,,,,,,,8,4,0,0,1,0
63,1996,1,1,25241,1,1,1,0,1,0,0,0,0,0,1,0,7,44,0,15,13,2,55,"int",1053,621,158,127,6194,5372,1614,1366,1254,6,4,0,0,1,0
64,2002,1,1,14206,2,2,1,1,2,0,0,0,0,0,16,0,2,8,0,5,3,2,15,"int",,,,,,,,,,10,4,0,0,1,0
65,1997,1,1,32803,2,2,1,0,2,0,0,0,0,1,40,5,6,17,0,8,7,1,21,"int",5525,1208,352,289,6280,5436,1119,941,6336,4,4,0,0,1,0
66,2001,1,1,17556,1,1,0,1,1,0,0,0,0,0,17,0,1,10,0,4,2,2,16,"tsv",2,2,1,1,12552,10203,3635,2815,6,6,3,0,1,0,1
67,2001,1,0,164832,1,1,1,0,1,0,0,0,0,0,1,0,0,,0,,,,16,"int",,,,,,,,,,7,1,0,0,0,0
68,2002,1,0,23300,6,4,1,0,4,0,0,0,0,0,3,0,0,,0,,,,15,"int",11202,4718,676,413,18787,15459,3519,2711,12846,5,2,0,0,0,0
69,2001,1,1,90173,4,4,1,0,3,0,0,1,0,0,2,0,4,54,0,15,12,3,19,"rtg",13315,4323,1223,772,5745,4910,1648,1344,16236,13,4,0,0,1,0
70,1995,1,0,85984,2,2,1,0,1,0,0,0,0,1,0,0,0,,0,,,,1,"int",14,14,7,7,5544,4851,1559,1358,17,7,2,0,0,0,0
71,1998,1,1,15762,2,2,1,0,2,0,0,0,0,1,0,13,8,20,3,20,12,8,7,"tsv",,,,,,,,,,8,3,0,1,0,1
72,2000,1,0,20729,4,1,0,1,1,0,0,0,0,0,0,0,0,,0,,,,129,"int",1265,393,134,121,13041,11054,2554,2001,1394,4,2,0,0,0,0
73,2000,1,0,23800,1,1,0,1,0,1,0,0,0,0,30,0,0,,0,,,,11,"sec",8593,2353,601,514,8133,7076,1344,1165,9668,4,2,0,0,0,0
74,1994,1,1,47003,1,1,1,0,1,0,0,0,0,0,19,1,23,82,2,6,4,2,35,"int",1,1,1,1,3363,2946,1158,1033,1,12,4,0,0,1,0
75,2002,1,1,10734,2,2,1,0,1,0,0,1,0,0,2,0,1,6,0,6,4,2,21,"int",,,,,,,,,,9,4,0,0,1,0
76,2001,1,0,51718,2,2,1,0,1,0,0,0,0,0,1,0,0,,0,,,,18,"int",,,,,,,,,,10,2,0,0,0,0
77,2001,1,0,45092,1,1,1,0,0,1,0,0,0,1,0,0,0,,0,,,,141,"app",270,43,16,16,19972,17754,2623,2320,337,4,2,0,0,0,0
78,2001,1,0,56113,1,1,1,0,0,1,0,0,0,1,45,0,0,,0,,,,141,"app",268,55,20,20,18388,16367,2224,2013,319,5,2,0,0,0,0
79,2001,1,1,167187,3,1,0,1,1,0,0,0,0,0,32,0,2,62,0,5,5,0,12,"tsv",2433,957,198,136,14073,11352,4258,3237,2640,16,4,0,0,1,0
80,2000,1,1,15032,1,1,0,1,1,0,0,0,0,0,13,0,0,11,0,7,6,1,9,"tsv",386,386,57,40,8325,6901,2108,1725,404,5,3,0,1,0,1
81,2000,1,1,156269,4,2,0,1,1,1,0,0,0,1,33,5,38,168,5,17,14,3,9,"tsv",386,386,57,40,8325,6901,2108,1725,404,13,4,0,0,1,0
82,2001,1,1,48125,6,4,1,1,4,0,0,0,0,1,6,2,7,62,1,10,5,5,12,"tsv",2433,957,198,136,14073,11352,4258,3237,2640,10,4,0,0,1,0
83,2000,1,1,68765,4,2,1,1,2,0,0,0,0,0,11,0,1,94,0,25,20,5,9,"tsv",1476,1475,147,102,9815,8115,2452,2018,1543,25,4,0,0,1,0
84,1995,1,1,14720,1,1,1,0,1,0,0,0,0,0,7.53887,0,2,9,0,4,2,2,5,"int",386,178,63,60,4243,3709,1507,1326,497,6,4,0,0,1,0
85,2002,1,1,31462,2,2,1,1,2,0,0,0,0,0,22,0,0,124,0,8,5,3,14,"tsv",4374,4164,383,259,16520,13152,4779,3569,4689,15,4,0,0,1,0
86,1998,1,1,84602,2,1,1,0,1,0,0,0,0,0,0,10,65,134,26,24,15,9,101,"tsv",,,,,,,,,,22,4,0,0,1,0
87,2002,1,1,36522,2,2,1,0,2,0,0,0,0,1,22,0,4,39,0,14,10,4,5,"app",1586,997,233,150,22664,20257,2460,2270,1748,10,4,0,0,1,0
88,2003,1,1,34901,5,5,1,1,5,0,0,0,0,1,13,0,6,32,1,9,7,2,9,"int",17633,3572,875,608,20676,17401,3083,2518,19525,7,4,0,0,1,0
89,2003,1,1,43738,1,1,1,0,0,1,0,0,0,0,6,0,5,,0,0,0,0,9,"app",2876,1290,214,122,24871,22280,2207,2023,3127,13,4,0,0,1,0
90,2003,1,1,76150,1,1,1,0,1,0,0,0,0,1,21,0,1,28,0,17,13,4,9,"app",2876,1290,214,122,24871,22280,2207,2023,3127,12,4,0,0,1,0
91,2004,1,1,161959,3,1,1,0,1,0,0,0,0,0,0,0,2,81,0,30,19,11,116,"o&m",,,,,,,,,,9,3,0,1,0,1
92,2001,1,1,30005,3,2,1,0,1,1,0,0,0,1,11,0,1,13,0,5,3,2,19,"int",9995,5931,1199,697,15667,13358,2432,1986,11058,5,4,0,0,1,0
93,2000,1,0,132762,5,3,1,0,3,0,0,0,0,0,0,0,0,,0,,,,13,"tsv",,,,,,,,,,18,1,0,0,0,0
94,2002,1,1,391228,6,4,1,0,3,1,0,0,0,1,0,0,6,94,0,5,3,2,13,"tsv",1035,1035,318,217,16043,12806,4628,3468,1175,5,3,0,0,0,0
95,1995,1,0,70292,1,1,0,1,0,1,0,0,0,0,0,0,0,,0,,,,1,"o&m",958,12,4,4,3521,3002,1527,1289,1477,1,2,0,0,0,0
97,2004,1,0,26724,2,2,1,0,2,0,0,0,0,1,32,0,0,,0,,,,11,"none",,,,,,,,,,7,2,0,0,0,0
98,2002,1,0,17218,6,6,1,1,4,0,1,1,0,1,3,0,0,,0,,,,128,"o&m",474,474,43,37,15232,13299,1620,1420,500,4,2,0,0,0,0
99,2002,1,1,78581,2,1,1,0,0,0,0,0,1,0,71,0,7,90,2,28,19,9,128,"app",,,,,,,,,,36,4,0,0,1,0
100,1996,1,1,36125,2,1,1,0,1,0,0,0,0,0,22,0,2,23,0,5,4,1,55,"o&m",,,,,,,,,,8,3,0,1,0,1
101,1994,1,0,24648,1,1,1,0,0,0,1,0,0,0,14,0,0,,0,,,,35,"int",1228,1227,212,175,3481,3050,1114,989,1303,2,2,0,0,0,0
102,2002,1,0,25997,1,1,0,1,1,0,0,0,0,0,5,0,0,,0,,,,128,"o&m",1259,362,129,121,14997,13069,1549,1362,1421,4,2,0,0,0,0
103,1999,1,1,66800,6,6,1,1,15,0,0,0,0,1,6,3,24,42,9,7,2,5,25,"rtg",2374,1477,378,281,2474,2114,371,330,2844,7,4,0,0,1,0
104,2003,1,0,24071,1,1,1,0,1,0,0,0,0,0,14,0,0,,0,,,,120,"tsv",3687,2417,529,355,20986,16645,4409,3448,4035,9,2,0,0,0,0
105,1997,1,0,14158,2,1,0,0,0,0,0,0,0,0,0,0,0,,0,,,,2,"o&m",244,0,0,0,7671,6622,1344,1195,336,3,2,0,0,0,0
106,2002,1,1,12515,1,1,1,0,1,0,0,0,0,0,14,0,1,6,0,9,7,2,128,"int",567,567,100,76,20227,16451,4038,3006,602,12,4,0,0,1,0
107,1995,0,1,50057,3,2,1,1,1,1,0,0,0,0,0,12,2,18,0,4,3,1,42,"none",,,,,,,,,,3,3,0,1,0,1
108,1997,1,1,14898,1,1,1,0,1,0,0,0,0,1,4,0,4,10,0,5,2,3,1,"app",,,,,,,,,,4,4,0,0,1,0
109,2003,1,1,169812,6,5,1,0,5,0,0,0,0,0,266,0,9,85,0,11,9,2,120,"tsv",8862,277,73,59,22303,17711,4035,3159,9312,9,4,0,0,1,0
110,1994,1,0,30821,1,1,1,0,0,0,1,0,0,0,2,0,0,,0,,,,35,"int",1228,1227,212,175,3481,3050,1114,989,1303,2,2,0,0,0,0
111,2001,1,1,106548,4,1,1,0,0,0,0,0,1,1,58,0,17,129,2,30,22,8,141,"tsv",,,,,,,,,,18,4,0,0,1,0
112,2002,1,1,11424,1,1,0,1,1,0,0,0,0,0,3,0,2,8,0,10,6,4,128,"tsv",8718,893,337,290,15428,11954,5135,3791,12870,9,4,0,0,1,0
113,1996,1,1,44098,2,2,1,0,2,0,0,0,0,0,0,16,6,21,3,0,0,0,7,"app",3030,2396,443,371,5274,4769,1334,1209,3256,5,4,0,0,1,0
114,2001,1,1,34972,6,6,1,1,7,0,0,4,0,1,30,0,1,31,1,10,5,5,141,"int",,,,,,,,,,13,4,0,0,1,0
115,1997,1,0,43329,1,1,0,1,1,0,0,0,0,0,0,0,0,,0,,,,6,"app",,,,,,,,,,1,2,0,0,0,0
116,1997,1,0,31772,1,1,1,0,1,0,0,0,0,1,26,0,0,,0,,,,4,"int",,,,,,,,,,2,2,0,0,0,0
117,2001,1,0,64836,2,1,1,0,0,1,0,0,0,0,19,0,0,,0,,,,141,"tsv",7877,900,367,299,10736,8487,4089,3074,11855,10,2,0,0,0,0
118,1999,1,0,65775,2,2,1,0,0,2,0,0,0,0,0,0,0,,0,,,,8,"rtg",377,173,74,68,3111,2541,808,636,533,2,2,0,0,0,0
119,2003,1,1,63482,2,1,0,1,0,0,0,0,0,0,33,0,0,,0,0,0,0,120,"sec",4022,221,89,87,15958,13768,1591,1427,4674,8,4,0,0,1,0
120,2002,1,0,13751,1,1,1,0,1,0,0,0,0,0,7,0,0,,0,,,,128,"int",5023,952,179,142,18504,15012,3833,2850,5919,5,2,0,0,0,0
121,1994,1,0,18828,1,1,1,0,0,0,1,0,0,0,0,0,0,,0,,,,3,"int",1,0,0,0,2661,2328,1160,1035,1,4,2,0,0,0,0
122,2003,1,1,28441,1,1,1,0,0,0,0,1,0,1,19,0,2,20,0,12,10,2,120,"int",4655,2283,452,386,23165,18694,3506,2740,4905,12,4,0,0,1,0
123,1997,1,0,17546,2,1,1,0,1,0,0,0,0,0,0,0,0,,0,,,,81,"sec",1282,328,124,119,2695,2253,807,692,1750,3,2,0,0,0,0
124,2003,1,1,14196,1,1,1,0,1,0,0,0,0,0,5,5,1,9,0,7,5,2,120,"int",6136,742,176,128,24124,19449,3693,2992,7289,5,4,0,0,1,0
125,1996,1,1,79803,1,1,1,0,1,0,0,0,0,0,16,11,8,40,0,8,6,2,55,"int",897,511,137,111,5720,4978,1477,1269,1060,9,4,0,0,1,0
126,2002,1,1,23181,2,2,1,1,2,0,0,0,0,0,6,0,3,13,0,14,10,4,128,"tsv",2662,1561,314,253,18497,14588,5193,3839,2945,8,4,0,0,1,0
127,1995,1,0,12438,2,2,1,0,1,1,0,0,0,0,0,0,0,,0,,,,42,"app",657,657,171,152,4095,3704,1364,1238,733,3,2,0,0,0,0
128,2002,1,1,28111,2,2,1,0,2,0,0,0,0,1,1,0,3,17,0,18,15,3,128,"int",16123,6128,1156,739,18700,15761,3033,2403,17799,5,4,0,0,1,0
129,2002,1,0,21653,1,1,1,0,1,0,0,0,0,1,9,0,0,,0,,,,128,"tsv",1973,1853,486,326,18008,14286,5066,3784,2197,2,2,0,0,0,0
130,2002,1,1,5575,4,4,1,0,3,0,0,1,0,1,2,0,0,5,0,4,2,2,128,"tsv",1216,1181,221,171,20054,15823,5147,3865,1314,9,4,0,0,1,0
131,2001,1,1,36729,6,5,1,1,2,2,0,0,0,0,0,0,16,36,3,5,4,1,141,"tsv",291,291,32,21,10534,8677,2767,2253,318,12,3,0,1,0,1
132,1998,1,1,64177,5,2,1,0,0,0,0,1,0,0,0,35,28,29,32,4,0,4,14,"rtg",1809,1152,290,219,2319,1977,284,248,2182,2,3,0,1,0,1
133,2001,1,1,8397,2,2,1,0,1,0,0,1,0,0,5,0,0,8,0,5,2,3,141,"rtg",1409,690,214,154,8716,6591,2635,1933,1711,11,4,0,0,1,0
134,1997,1,1,8408,1,1,1,0,1,0,0,0,0,1,0,0,7,9,0,1,0,1,81,"app",,,,,,,,,,8,4,0,0,1,0
135,2001,1,1,15966,2,1,1,0,1,0,0,0,0,1,16,0,6,25,0,7,6,1,141,"app",645,338,96,86,19841,17635,2543,2250,734,20,4,0,0,1,0
136,2002,1,0,60233,3,3,1,0,3,0,0,0,0,1,47,0,0,,0,,,,128,"sec",615,151,47,46,14528,12527,2189,1898,755,16,2,0,0,0,0
137,1998,0,0,10677,1,1,1,0,0,0,0,1,0,0,0,0,0,,0,,,,101,"none",,,,,,,,,,1,2,0,0,0,0
138,1995,1,1,9001,2,2,1,0,1,1,0,0,0,0,3,21,7,5,2,7,5,2,42,"sec",1155,848,160,134,1062,878,346,308,1262,3,4,0,0,1,0
139,1995,1,1,13581,2,2,1,0,2,0,0,0,0,0,4,2,5,10,0,0,0,0,42,"sec",1155,848,160,134,1062,878,346,308,1262,4,4,0,0,1,0
140,2003,1,0,18284,3,3,1,0,2,0,0,0,0,0,16,0,0,,0,,,,120,"rtg",17076,2274,615,416,9185,7621,2370,1897,20503,10,2,0,0,0,0
141,2002,1,1,47919,2,1,1,0,0,0,0,0,1,0,55,0,9,107,1,10,5,5,128,"app",,,,,,,,,,26,4,0,0,1,0
142,2002,1,1,26334,1,1,1,0,1,0,0,0,0,0,0,0,2,22,0,1,1,0,128,"tsv",,,,,,,,,,10,3,0,1,0,1
143,2002,1,1,6026,1,1,0,1,1,0,0,0,0,0,0,0,2,6,0,2,2,0,128,"int",16023,4034,626,471,17863,14450,3535,2640,17640,6,3,0,1,0,1
144,2003,1,0,27227,1,1,1,0,1,0,0,0,0,0,8,0,0,,0,,,,120,"int",1476,655,97,86,25261,20422,3904,3120,1549,9,2,0,0,0,0
145,1993,1,1,16345,1,1,1,0,0,1,0,0,0,0,0,2,17,39,0,9,8,1,20,"app",,,,,,,,,,8,4,0,0,1,0
146,2004,0,0,33593,1,1,0,1,0,0,0,1,0,1,0,0,0,,0,,,,116,"none",,,,,,,,,,4,2,0,0,0,0
147,1996,1,1,82676,1,1,1,0,0,1,0,0,0,0,9,1,22,68,0,13,10,3,55,"app",1926,646,61,59,6054,5431,1662,1467,1939,8,4,0,0,1,0
148,1995,0,1,15062,1,1,1,0,0,1,0,0,0,0,9,2,2,7,0,9,7,2,42,"none",,,,,,,,,,5,3,0,1,0,1
149,2003,1,1,25891,4,2,1,1,2,0,0,0,0,1,5,0,3,15,0,8,6,2,120,"rtg",17439,2421,615,419,9432,7811,2397,1916,20904,8,3,0,1,0,1
150,2003,1,1,24758,3,1,1,0,1,0,0,0,0,1,14,0,2,30,0,20,12,8,120,"tsv",1983,1505,308,227,22243,17536,4258,3320,2143,17,4,0,0,1,0
151,1994,1,1,89467,1,1,0,1,0,1,0,0,0,1,0,2,7,23,23,3,2,1,35,"rtg",330,51,24,15,937,838,201,180,362,10,4,0,0,1,0
152,1995,1,1,45053,3,1,1,0,0,0,1,0,0,0,0,25,31,86,5,8,3,5,42,"sec",1653,1327,219,176,1136,946,344,309,1788,11,4,0,0,1,0
153,2002,1,0,11294,1,1,1,0,1,0,0,0,0,0,16,0,0,,0,,,,128,"tsv",1518,1517,429,290,17090,13579,4938,3676,1714,6,2,0,0,0,0
154,1999,1,1,26761,2,2,0,1,2,0,0,0,0,1,0,3,12,24,3,4,3,1,12,"tsv",,,,,,,,,,4,3,0,1,0,1
155,2001,1,1,10290,3,2,1,0,0,0,0,2,0,0,1,0,8,50,1,12,8,4,141,"rtg",12631,4575,1248,796,5424,4648,1520,1258,15415,18,4,0,0,1,0
156,2003,1,1,25081,6,6,1,1,5,0,0,1,0,1,5,0,3,16,0,4,3,1,120,"rtg",3270,876,286,187,13637,10467,2714,2145,3593,9,3,0,1,0,1
157,1996,1,1,17003,6,5,1,1,2,2,0,0,0,1,0,20,21,11,5,3,2,1,55,"tsv",3154,818,416,364,677,565,367,291,4711,6,4,0,0,1,0
158,2002,1,1,47192,1,1,1,0,1,0,0,0,0,1,43,0,13,22,0,5,2,3,128,"int",14631,6029,1164,715,17887,15114,3043,2419,16152,3,4,0,0,1,0
159,2002,1,1,11623,1,1,1,0,1,0,0,0,0,1,12,0,0,6,1,7,5,2,128,"int",16804,5413,1088,720,19496,16414,3069,2451,18585,3,4,0,0,1,0
160,1998,1,1,52133,3,1,1,0,1,0,0,0,0,0,0,4,6,63,0,8,6,2,101,"int",,,,,,,,,,8,4,0,0,1,0
