owner_name,owner_monthly,owner_push_size,owner_push_distinct_size,owner_push_ct,owner_fork_ct,owner_watch_ct,owner_commitcomment_ct,owner_issuecomment_ct,owner_issueopen_ct,owner_issueclose_ct,owner_pullopen_ct,owner_pullopen_comment_ct,owner_pullopen_review_ct,owner_pullopen_commit_ct,owner_pullopen_add_ct,owner_pullopen_delete_ct,owner_pullopen_changefile_ct,owner_pullclose_ct,owner_pullclose_comment_ct,owner_pullclose_review_ct,owner_pullclose_commit_ct,owner_pullclose_add_ct,owner_pullclose_delete_ct,owner_pullclose_changefile_ct,owner_pushactor_actor_ct,owner_pullactor_actor_ct,repo_owner_name,repo_monthly,repo_ct
ThePadawan,2017-02,189,189,125,,,,,,,,,,,,,,,,,,,,,,,,,
velev1,2017-07,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,
CocoChen917,2017-08,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,
narongdejsrn,2017-06,1,1,1,1,,,,,,,,,,,,,,,,,,,,1,,narongdejsrn,2017-06,2
IsabelRoche,2017-05,25,25,1,,,,,,,,,,,,,,,,,,,,,1,,IsabelRoche,2017-05,2
fanyilin0128,2017-04,7,7,7,,,,,,,,,,,,,,,,,,,,,,,fanyilin0128,2017-04,1
engwalker,2017-01,8,8,5,,,,,,,,,,,,,,,,,,,,,2,,engwalker,2017-01,2
SzymonPrajs,2017-03,82,40,24,,,,4,,2,4,0,0,15,1393538,26,551,5,2,0,17,1393538,26,551,,,,,
highthonXusb,2017-07,2,2,2,,1,,,,,,,,,,,,,,,,,,,1,,highthonXusb,2017-07,2
sensusaps,2017-01,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,
sujoyroyskr,2017-02,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,sujoyroyskr,2017-02,1
smkashifsiddiqui,2017-05,11,6,11,,,,,,,,,,,,,,,,,,,,,1,,smkashifsiddiqui,2017-05,2
shearern,2017-06,42,11,12,1,,,1,,,1,0,0,14,260,138,10,2,1,0,29,520,276,20,,1,,,
chewy94,2017-02,9,7,7,,,,,,,1,0,0,1,2437,0,13,1,0,0,1,2437,0,13,2,1,chewy94,2017-02,2
OtabekRustamov,2017-08,34,34,31,,,,,,,,,,,,,,,,,,,,,4,,OtabekRustamov,2017-08,4
cmietzner,2017-01,6,6,6,,,,,,,,,,,,,,,,,,,,,2,,cmietzner,2017-01,2
stuartpb,2017-10,20,20,13,1,2,,1,,1,,,,,,,,,,,,,,,2,,stuartpb,2017-10,3
bigodines,2017-12,38,36,27,1,1,,,,,,,,,,,,,,,,,,,1,,bigodines,2017-12,2
ClosureCode,2017-09,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,
trupin,2017-11,28,28,27,,,,,,,,,,,,,,,,,,,,,,,,,
itpir,2017-07,182,182,142,8,,,,,,28,0,0,36,1100,516,52,28,0,0,36,1100,516,52,,,itpir,2017-07,4
felipeescorel,2017-06,36,36,54,,,,,,,,,,,,,,,,,,,,,4,,,,
agusbussi03,2017-04,9,9,7,,,,,,,,,,,,,,,,,,,,,1,,agusbussi03,2017-04,1
dkarris,2017-02,2,2,2,,,,,,,,,,,,,,,,,,,,,2,,dkarris,2017-02,1
rclement1,2017-11,21,21,12,,,,,,,,,,,,,,,,,,,,,,,,,
muthukumar163,2017-06,3,3,3,,,,,,,,,,,,,,,,,,,,,1,,muthukumar163,2017-06,1
hylianred,2017-03,4,4,4,,,,,,,,,,,,,,,,,,,,,2,,hylianred,2017-03,1
anyajuan90,2017-02,28,28,23,,,1,,2,,,,,,,,,,,,,,,,3,,anyajuan90,2017-02,9
HelloQingSong,2017-05,4,4,3,,,,,,,,,,,,,,,,,,,,,2,,HelloQingSong,2017-05,2
asriva89,2017-01,2,2,1,,,,,,,,,,,,,,,,,,,,,1,,asriva89,2017-01,4
helgestein,2017-02,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
er7146,2017-03,35,35,33,,,,,,,,,,,,,,,,,,,,,1,,er7146,2017-03,1
marceloreina,2017-03,10,10,10,,1,,,,,,,,,,,,,,,,,,,1,,marceloreina,2017-03,1
carlerikjohan,2017-11,2,2,2,,,,,,,,,,,,,,,,,,,,,1,,carlerikjohan,2017-11,1
itziarsesma,2017-06,2,2,2,,,,,,,,,,,,,,,,,,,,,1,,itziarsesma,2017-06,1
tangziqing,2017-01,39,39,38,,,,,,,,,,,,,,,,,,,,,1,,,,
Abraham9511,2017-06,84,84,74,,,,,,,,,,,,,,,,,,,,,3,,Abraham9511,2017-06,1
Anandnv,2017-07,1087,5236,28,3,,2,,,,1,0,0,36,258,63,16,1,0,0,36,258,63,16,5,1,Anandnv,2017-07,7
phattringuyen,2017-03,4,4,4,,,,,,,,,,,,,,,,,,,,,2,,phattringuyen,2017-03,2
Edward-Aidi,2017-03,2,2,2,,,,,,,,,,,,,,,,,,,,,1,,Edward-Aidi,2017-03,1
engrawais,2017-07,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,
poncetnoemie,2017-10,23,23,19,,,,,,,,,,,,,,,,,,,,,3,,poncetnoemie,2017-10,3
svens,2017-11,75,46,32,,,,3,,,3,0,0,29,4280,1128,65,3,3,0,29,4280,1128,65,,,,,
lukaszwierzynski,2017-04,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,lukaszwierzynski,2017-04,1
Nikhil-Bose,2017-10,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,Nikhil-Bose,2017-10,1
sunwooha,2017-10,134,134,130,,2,,,,,,,,,,,,,,,,,,,12,,sunwooha,2017-10,4
alistairkb,2017-07,105,105,7,,,,,,,,,,,,,,,,,,,,,1,,alistairkb,2017-07,1
tomatobang,2017-12,55,55,41,3,1,,5,2,,5,0,0,11,518,273,30,5,4,3,15,1186,736,45,1,,tomatobang,2017-12,1
Hosea987,2017-07,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,Hosea987,2017-07,1
swa19,2017-01,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
AbhishekVG,2017-12,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,AbhishekVG,2017-12,3
super-squad-1,2017-05,430,127,136,4,,,5,11,,49,0,0,116,4461383,1605,46244,49,0,0,120,4461327,1603,46246,12,12,super-squad-1,2017-05,3
pablopardoz,2017-12,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
ohy99,2017-11,62,62,45,,,,,,,,,,,,,,,,,,,,,2,,,,
YuEWuu,2017-06,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,YuEWuu,2017-06,1
CrazyBite,2017-10,11,11,11,,,,,,,,,,,,,,,,,,,,,1,,CrazyBite,2017-10,2
LeafCoders,2017-12,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,
cassella,2017-05,2,2,2,,,,,,,,,,,,,,,,,,,,,1,,cassella,2017-05,1
vvlevchenko,2017-06,3,3,3,1,,,,,,,,,,,,,,,,,,,,1,,vvlevchenko,2017-06,1
ericozhuang,2017-03,8,7,7,,,1,,,,1,0,0,1,2,0,1,1,0,0,1,2,0,1,4,1,ericozhuang,2017-03,7
edzillion,2017-07,123,101,71,1,,,,,,,,,,,,,,,,,,,,4,,edzillion,2017-07,1
niuran,2017-12,5,5,5,,,,,,,,,,,,,,,,,,,,,2,,niuran,2017-12,4
Tessil,2017-11,6,6,4,5,40,,7,2,2,,,,,,,,,,,,,,,,,,,
Dorigen,2017-06,2,2,1,,,,,,,,,,,,,,,,,,,,,1,,Dorigen,2017-06,1
Sproc,2017-01,3,3,3,,,,,,,,,,,,,,,,,,,,,1,,Sproc,2017-01,1
Billcountry,2017-05,10,10,10,,,,,,,,,,,,,,,,,,,,,2,,Billcountry,2017-05,2
realysalt,2017-06,5,4,4,,,,,,,1,0,0,1,2,0,1,1,0,0,1,2,0,1,2,1,realysalt,2017-06,2
jlfaucher,2017-10,86,86,6,,,,,,,,,,,,,,,,,,,,,,,,,
riphill,2017-01,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,
Hubertzhang,2017-10,62,62,1,,,,,,,,,,,,,,,,,,,,,,,,,
hoastyle,2017-05,7,7,2,,,,,,,,,,,,,,,,,,,,,1,,hoastyle,2017-05,1
MetaMoss,2017-01,18,18,17,,,,,,,,,,,,,,,,,,,,,1,,,,
arthurepp,2017-10,26,26,26,,,,,,,,,,,,,,,,,,,,,3,,arthurepp,2017-10,3
Mamaduka,2017-09,12,12,10,,2,,,,,,,,,,,,,,,,,,,1,,Mamaduka,2017-09,2
elreydetoda,2017-07,14,14,12,,,,,,,,,,,,,,,,,,,,,2,,elreydetoda,2017-07,1
marburg-open-courseware,2017-09,9,9,8,1,,,,,,,,,,,,,,,,,,,,1,,marburg-open-courseware,2017-09,1
slee1295,2017-12,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,slee1295,2017-12,1
cfiet,2017-03,12,7,7,,,,,,,2,0,0,5,950,149,57,2,0,0,5,950,149,57,,1,cfiet,2017-03,1
bmckelvey11,2017-09,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,bmckelvey11,2017-09,1
gambol99,2017-04,149,67,65,5,16,,11,1,,25,0,0,27,761,483,71,22,5,11,27,18421,12106,290,,1,gambol99,2017-04,1
naftulikay,2017-05,387,385,290,1,2,,25,12,16,20,0,0,25,871,322,49,20,4,0,20,2379,835,103,4,4,naftulikay,2017-05,9
ykonopaka,2017-05,8,8,5,,,,,,,,,,,,,,,,,,,,,,,,,
Gemini-z,2017-07,2,2,2,,,,,,,,,,,,,,,,,,,,,2,,Gemini-z,2017-07,1
fvanriggelen,2017-11,13,10,10,,,,,,,2,0,0,5,425,28,3,1,0,0,3,247,16,2,2,2,fvanriggelen,2017-11,1
fischeti,2017-11,3,3,3,,,,,,,,,,,,,,,,,,,,,2,,fischeti,2017-11,1
gavinshaw,2017-05,7,7,6,,,,,,,,,,,,,,,,,,,,,,,,,
upliveapp,2017-09,22,22,22,,,,,,,,,,,,,,,,,,,,,1,,upliveapp,2017-09,1
DanyKRZ,2017-12,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
tru36rit,2017-02,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,
julianschoep,2017-12,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,
stefanpulido52,2017-02,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,
ArqSoftware-1,2017-04,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,
fitai,2017-04,41,17,16,,,,4,,,3,0,0,5,281,292,18,4,4,0,15,471,417,30,,,,,
greatsolon,2017-04,6,6,6,,,,,,,,,,,,,,,,,,,,,1,,greatsolon,2017-04,1
wildeastengineer,2017-06,47,42,21,,,,6,,,7,0,0,17,2130,386,155,10,6,8,26,2647,535,199,,,wildeastengineer,2017-06,1
qq451682583,2017-05,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
bhavyahmehta,2017-01,2,2,2,,,,,,,,,,,,,,,,,,,,,1,,bhavyahmehta,2017-01,1
xkevinx45,2017-05,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,xkevinx45,2017-05,2
camyers,2017-03,31,17,16,,,,6,8,6,2,0,0,14,429,410,13,2,0,0,14,429,410,13,1,1,camyers,2017-03,1
ajtrask,2017-06,2,2,2,,,,,,,,,,,,,,,,,,,,,1,,ajtrask,2017-06,1
peterkim22,2017-05,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,peterkim22,2017-05,3
dhatawesomedude,2017-06,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,dhatawesomedude,2017-06,1
JVerstry,2017-03,12,12,10,,,,,,,,,,,,,,,,,,,,,1,,,,
zakeam,2017-11,3,2,2,,,,,,,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1,1,zakeam,2017-11,1
fomenkodmitry,2017-07,20,20,11,,,,,,,,,,,,,,,,,,,,,2,,fomenkodmitry,2017-07,2
legendchen-lkc,2017-02,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,legendchen-lkc,2017-02,1
bridgegirl,2017-06,3,3,3,2,,,,,,,,,,,,,,,,,,,,1,,bridgegirl,2017-06,1
strues,2017-02,338,161,154,9,38,,17,11,7,17,0,0,156,26268,40732,1573,19,8,0,187,30754,42148,1698,1,,strues,2017-02,2
novaksolutions,2017-02,5,5,4,,,,12,3,8,,,,,,,,,,,,,,,,,,,
MikeAguilera,2017-11,2,2,2,,,,,,,,,,,,,,,,,,,,,1,,MikeAguilera,2017-11,1
amatanat,2017-07,26,26,26,,,,,,,,,,,,,,,,,,,,,3,,amatanat,2017-07,3
rpongsaj,2017-09,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,
elgogle,2017-12,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,
larryli,2017-02,2,2,1,2,10,,1,1,,1,0,0,1,2,2,1,1,0,0,1,2,2,1,,1,,,
TDT4140-Breeze,2017-02,29,25,21,,,,,,,,,,,,,,2,0,0,4,2,0,2,1,,TDT4140-Breeze,2017-02,4
myartsev,2017-02,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,
codenobody,2017-08,4,3,3,,,,2,6,,1,0,0,1,1,0,1,1,0,0,1,1,0,1,2,1,codenobody,2017-08,2
Wanghao1997,2017-05,36,36,24,,,,,,,,,,,,,,,,,,,,,,,Wanghao1997,2017-05,1
komayuki,2017-10,58,58,54,,,,,,,,,,,,,,,,,,,,,1,,komayuki,2017-10,4
NYCSwan,2017-08,9,5,4,,,,,,,2,0,0,5,189,112,13,1,0,0,4,161,85,12,2,1,NYCSwan,2017-08,2
wony-zheng,2017-10,2,1,1,,,,,,,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,wony-zheng,2017-10,1
AMGardner1985,2017-07,14,8,11,,,,,,,,,,,,,,,,,,,,,2,,AMGardner1985,2017-07,3
LanKuDot,2017-02,6,6,4,,,,,,,,,,,,,,,,,,,,,2,,LanKuDot,2017-02,1
bhargav1996,2017-04,5,5,5,,1,,,,,,,,,,,,,,,,,,,1,,bhargav1996,2017-04,1
planeswalker1,2017-03,61,61,61,,,,,,,,,,,,,,,,,,,,,2,,planeswalker1,2017-03,2
JonPSmith,2017-04,161,64,50,13,29,,3,2,2,2,0,0,2,8,8,2,1,0,0,1,7,7,1,,2,,,
duncanwedig,2017-10,11,11,11,,,,,,,,,,,,,,,,,,,,,1,,duncanwedig,2017-10,1
scottdao,2017-10,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
bleek4057,2017-12,26,17,16,,,,,,,,,,,,,,,,,,,,,3,,bleek4057,2017-12,1
quartern,2017-12,3,2,2,,,,,,,1,0,0,1,5,3,1,1,0,0,1,5,3,1,,,,,
ulisespereira,2017-04,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,
midjji,2017-06,3,3,3,,,,,,,,,,,,,,,,,,,,,1,,midjji,2017-06,1
krastovsky,2017-09,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,krastovsky,2017-09,2
hoanghuybao,2017-10,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,hoanghuybao,2017-10,1
olinex,2017-11,15,15,13,,4,,,,,,,,,,,,,,,,,,,1,,olinex,2017-11,1
polarsun,2017-01,32,17,16,,,,,,,2,0,0,4,449,365,23,2,0,0,4,449,365,23,1,1,polarsun,2017-01,2
igoode,2017-05,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
daniel-koehn,2017-07,11,11,11,,2,,,,,,,,,,,,,,,,,,,,,,,
ranger-zz,2017-06,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,
leonardoaugt,2017-07,32,32,31,,,,,,,,,,,,,,,,,,,,,1,,leonardoaugt,2017-07,3
atlant-garant,2017-05,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
sa9ya,2017-08,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,sa9ya,2017-08,2
luiger,2017-04,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,
FRCTeam238,2017-10,48,48,18,,,,1,7,10,,,,,,,,,,,,,,,,,,,
FranziHossu,2017-05,6,6,6,,,,,,,,,,,,,,,,,,,,,1,,FranziHossu,2017-05,1
Mohdrz,2017-11,148,148,144,,,,,,,,,,,,,,,,,,,,,2,,Mohdrz,2017-11,3
MrLoong,2017-03,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
knockrentals,2017-10,2,2,2,8,8,2,14,2,2,6,0,0,10,118,42,8,2,2,6,2,8,6,2,,4,,,
Geass1000,2017-07,70,46,14,,,,,,,,,,,,,,,,,,,,,,,,,
Lic128,2017-07,12,9,7,,,,,,,,,,,,,,,,,,,,,1,,Lic128,2017-07,2
jampy,2017-08,20,20,2,1,3,,1,,,,,,,,,,,,,,,,,,,,,
OptiAOSP,2017-02,47,47,3,,,,,,,,,,,,,,,,,,,,,,,,,
TimSimpsonR,2017-03,5,3,3,,,,,,,2,0,0,2,19,9,5,2,0,0,2,19,9,5,,1,,,
joelfiddes,2017-10,87,87,87,,,,5,14,4,,,,,,,,,,,,,,,,,,,
Hg20170808,2017-08,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,Hg20170808,2017-08,1
Yohann29,2017-11,7,7,7,,,,,,,,,,,,,,,,,,,,,5,,Yohann29,2017-11,2
Rafael-Cheng,2017-04,137,137,83,8,2,,,,,24,0,0,72,7409,335,145,21,0,0,59,4794,322,99,1,5,Rafael-Cheng,2017-04,1
stf-dependencies,2017-05,10,10,10,,,,,,,,,,,,,,,,,,,,,,,stf-dependencies,2017-05,1
Luluno01,2017-06,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
publiduty,2017-07,477,477,477,,,,,,,,,,,,,,,,,,,,,,,,,
otulach,2017-03,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
Geokats,2017-10,66,66,4,,,,,,,1,0,0,62,1166,36,27,1,0,0,62,1166,36,27,2,1,Geokats,2017-10,3
natallip,2017-08,1,1,1,,,,,,,1,0,0,1,217,4,2,,,,,,,,1,1,natallip,2017-08,2
AKushman,2017-06,9,9,7,,,,,,,,,,,,,,,,,,,,,,,,,
lucamuscat,2017-02,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
JeromeGoodrich,2017-06,18,18,7,,,,,,,,,,,,,,,,,,,,,1,,JeromeGoodrich,2017-06,1
sdcarter,2017-07,2,2,2,,,,,,,,,,,,,,,,,,,,,2,,sdcarter,2017-07,1
zensoft,2017-08,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
bsokas,2017-12,2,2,1,,,,,,,,,,,,,,,,,,,,,1,,bsokas,2017-12,1
conndots,2017-06,4,4,4,,1,,,,,,,,,,,,,,,,,,,,,conndots,2017-06,1
li-wl,2017-04,2,2,2,,2,1,,,,,,,,,,,,,,,,,,,,,,
AurelianGaiu,2017-05,7,7,7,,,,,,,,,,,,,,,,,,,,,3,,AurelianGaiu,2017-05,4
kocharshaivi19,2017-08,12,12,11,,1,,,,,,,,,,,,,,,,,,,1,,,,
thejonan,2017-04,1127,458,2,,,,,,,,,,,,,,,,,,,,,,,,,
biancaemde,2017-10,13,13,13,,,,,,,,,,,,,,,,,,,,,2,,biancaemde,2017-10,4
hasanyousuf,2017-04,4,4,4,,,,,,,,,,,,,,,,,,,,,1,,hasanyousuf,2017-04,1
Gibberlings3,2017-12,15,15,10,,1,,,,,2,0,0,4,266,261,11,2,0,0,4,266,261,11,,,,,
nesror,2017-10,4,4,3,,3,,,,,,,,,,,,,,,,,,,,,,,
nglgzz,2017-07,3,3,3,,,,,,,,,,,,,,,,,,,,,2,,nglgzz,2017-07,2
blackiceua,2017-07,2,2,1,,,,,,,,,,,,,,,,,,,,,1,,blackiceua,2017-07,1
jtmoogle,2017-10,3,3,3,,,,,,,,,,,,,,,,,,,,,1,,,,
nkbt,2017-02,59,46,31,3,77,,61,7,7,17,0,0,17,95,86,30,15,2,0,22,121,1664,86,2,,nkbt,2017-02,2
guoxiaolongonly,2017-10,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,guoxiaolongonly,2017-10,1
drupal,2017-06,400,400,284,29,41,,2,,,2,0,0,545,129616,96744,5593,2,2,0,545,129818,96723,5592,7,2,,,
edworkinfo,2017-06,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,
ipcjs,2017-08,344,249,26,,2,,,,,,,,,,,,,,,,,,,3,,ipcjs,2017-08,2
heythere77,2017-07,3,2,2,,,,,,,1,0,0,1,3,1,1,1,0,0,1,3,1,1,1,1,heythere77,2017-07,1
christhompson17,2017-04,4,4,4,,2,5,9,5,3,,,,,,,,,,,,,,,1,,,,
seternate,2017-07,1,1,1,,,,,,,1,0,0,1,815,639,22,,,,,,,,,,,,
akshaymahajans,2017-03,36,36,34,2,2,,,,,,,,,,,,,,,,,,,8,,akshaymahajans,2017-03,3
orchid-hybrid-2,2017-04,1,1,1,,1,,,,,,,,,,,,,,,,,,,1,,orchid-hybrid-2,2017-04,1
Arrowbox,2017-08,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,Arrowbox,2017-08,1
oluadekoya1,2017-07,18,1,1,,,,,,,1,0,0,17,5102,1147,38,1,0,0,17,5102,1147,38,1,1,oluadekoya1,2017-07,1
SpXxwW,2017-03,80,80,19,,,,,,,,,,,,,,,,,,,,,1,,SpXxwW,2017-03,1
guanchang,2017-11,1,1,1,,2,,,,,,,,,,,,,,,,,,,1,,guanchang,2017-11,1
SAC-CS112-Gomez-David,2017-03,4,4,4,,,,,,,,,,,,,,,,,,,,,2,,SAC-CS112-Gomez-David,2017-03,1
Begun,2017-04,1,1,1,,2,,,,,,,,,,,,,,,,,,,,,,,
noahziperski,2017-11,11,11,11,,,,,,,,,,,,,,,,,,,,,5,,noahziperski,2017-11,5
605data,2017-05,6,6,5,,,,23,3,3,,,,,,,,,,,,,,,,,,,
AaMegaTeam,2017-01,25,25,25,2,,,,,,,,,,,,,,,,,,,,9,,AaMegaTeam,2017-01,11
zhubojun,2017-11,39,39,6,,,,,,,,,,,,,,,,,,,,,,,,,
elisa-olivero,2017-08,2,2,2,,,,,,,,,,,,,,,,,,,,,1,,elisa-olivero,2017-08,1
davidwatkins457,2017-03,4,4,4,,,,,,,,,,,,,,,,,,,,,3,,davidwatkins457,2017-03,3
arraintxo,2017-06,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,arraintxo,2017-06,1
bazo,2017-01,8,8,8,1,,,,,,,,,,,,,,,,,,,,,,,,
kosorin,2017-09,6,6,4,,,,,,,,,,,,,,,,,,,,,4,,kosorin,2017-09,4
KCC-Project,2017-12,122,122,117,,,,,,,,,,,,,,,,,,,,,1,,KCC-Project,2017-12,1
wssgcg1213,2017-04,30,30,9,,14,,20,2,2,4,0,0,6,348,16,14,,,,,,,,2,2,wssgcg1213,2017-04,3
JianFengY,2017-11,2,2,2,,,,,,,,,,,,,,,,,,,,,1,,JianFengY,2017-11,1
feizeikesi,2017-12,8,8,8,,,,,,,,,,,,,,,,,,,,,2,,feizeikesi,2017-12,2
maplemap,2017-07,242,148,73,,,,,,,,,,,,,,,,,,,,,5,,maplemap,2017-07,4
Demeleo,2017-09,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
skmcloughlin,2017-12,22,22,22,1,,,,,,,,,,,,,,,,,,,,12,,skmcloughlin,2017-12,13
andrescedeno,2017-07,3,3,3,,,,,,,,,,,,,,,,,,,,,2,,andrescedeno,2017-07,2
Demar77,2017-10,28,28,21,,,,,,,,,,,,,,,,,,,,,3,,Demar77,2017-10,2
saadasghar9,2017-04,2,2,1,,,,,,,,,,,,,,,,,,,,,1,,saadasghar9,2017-04,11
WhiteTaken,2017-01,4,4,4,1,1,,1,1,,,,,,,,,,,,,,,,4,,WhiteTaken,2017-01,7
QLBMPH,2017-05,4,4,4,,,,,,,,,,,,,,,,,,,,,1,,QLBMPH,2017-05,1
JesterDunice,2017-02,55,55,50,,,,,,,,,,,,,,,,,,,,,4,,JesterDunice,2017-02,6
nymeowmeow,2017-11,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,
e66,2017-06,2,2,2,,,,,,,1,0,0,1,1,0,1,,,,,,,,1,1,e66,2017-06,5
t1p1,2017-01,28,28,23,,,,,,,,,,,,,,,,,,,,,3,,t1p1,2017-01,1
gitmate-test-user,2017-11,1,1,1,2,,,2,2,,1,0,0,1,1,0,1,,,,,,,,1,,gitmate-test-user,2017-11,1
zhiyuan199204040932,2017-12,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,
togrue,2017-02,718,704,1,,,,,,,,,,,,,,,,,,,,,,,,,
WashingtonJunior,2017-05,2,2,2,,1,,,,,,,,,,,,,,,,,,,,,,,
proxa,2017-04,71,71,67,,6,,2,,,1,0,0,5,133,56,33,,,,,,,,5,1,proxa,2017-04,4
trajkovikj,2017-04,7,7,6,,,,,,,,,,,,,,,,,,,,,1,,trajkovikj,2017-04,1
mkrysiak,2017-01,2,2,2,,,,,,,,,,,,,,,,,,,,,1,,mkrysiak,2017-01,1
woodsy88,2017-12,125,92,75,,,,,,,3,0,0,33,727,142,66,3,0,0,33,727,142,66,1,,woodsy88,2017-12,2
at-quoctv,2017-05,15,15,9,,,,,,,,,,,,,,,,,,,,,,,,,
TheCursee,2017-07,4,4,4,,,,,,,,,,,,,,,,,,,,,1,,TheCursee,2017-07,1
thaison01,2017-11,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,thaison01,2017-11,1
PiXy79,2017-02,84,84,84,,3,,,,,,,,,,,,,,,,,,,3,,PiXy79,2017-02,1
Euricom,2017-08,95,80,72,,,,,,,,,,,,,,,,,,,,,10,,Euricom,2017-08,3
junzhou94,2017-06,5,5,5,,1,,,,,,,,,,,,,,,,,,,2,,junzhou94,2017-06,3
marcosbasualdo,2017-05,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
marvi14,2017-09,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,marvi14,2017-09,1
ashokamiti,2017-03,3,3,3,,,,,,,,,,,,,,,,,,,,,1,,ashokamiti,2017-03,1
AkioFaris,2017-09,4,4,4,,,,,,,,,,,,,,,,,,,,,2,,AkioFaris,2017-09,4
facecto,2017-05,4,4,4,,,,,,,,,,,,,,,,,,,,,1,,facecto,2017-05,1
K4RMAKA,2017-09,2,2,2,,,,,,,,,,,,,,,,,,,,,1,,K4RMAKA,2017-09,2
HuginMuninDevelopment,2017-07,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,HuginMuninDevelopment,2017-07,1
dmvstar,2017-11,9,9,8,,,,,,,,,,,,,,,,,,,,,,,dmvstar,2017-11,1
MatteoManna,2017-12,5,5,5,3,3,,,,,1,0,0,1,42,0,2,,,,,,,,,1,,,
thefossgeek,2017-07,2,2,2,,,,,,,,,,,,,,,,,,,,,1,,thefossgeek,2017-07,1
jananga,2017-11,5,5,5,,,,,,,,,,,,,,,,,,,,,1,,jananga,2017-11,1
Fr3dric0,2017-06,96,65,24,,,,5,4,2,2,0,0,10,9715,2593,68,1,0,1,2,28,11,4,,,,,
nasailja,2017-02,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
BAVKT,2017-06,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
zhanhcs,2017-10,11,11,3,,,,,,,,,,,,,,,,,,,,,1,,zhanhcs,2017-10,1
dpflug,2017-10,1114,3151,8,,,,,,,,,,,,,,,,,,,,,,,,,
JonasFreireAlcantara,2017-07,12,4,9,,,,,,,1,0,0,1,673,842,13,1,0,0,1,673,842,13,1,,JonasFreireAlcantara,2017-07,2
gspansky,2017-03,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,
nomadics,2017-05,2,2,2,,,,,,,,,,,,,,,,,,,,,1,,nomadics,2017-05,1
