owner_name,owner_monthly,owner_push_size,owner_push_distinct_size,owner_push_ct,owner_fork_ct,owner_watch_ct,owner_commitcomment_ct,owner_issuecomment_ct,owner_issueopen_ct,owner_issueclose_ct,owner_pullopen_ct,owner_pullopen_comment_ct,owner_pullopen_review_ct,owner_pullopen_commit_ct,owner_pullopen_add_ct,owner_pullopen_delete_ct,owner_pullopen_changefile_ct,owner_pullclose_ct,owner_pullclose_comment_ct,owner_pullclose_review_ct,owner_pullclose_commit_ct,owner_pullclose_add_ct,owner_pullclose_delete_ct,owner_pullclose_changefile_ct,owner_pushactor_actor_ct,owner_pullactor_actor_ct,repo_owner_name,repo_monthly,repo_ct
tom1994,2017-11,100,100,45,,,,,,,,,,,,,,,,,,,,,,,,,
arthur-o9ht,2017-10,8,8,7,,,,,,,,,,,,,,,,,,,,,1,,arthur-o9ht,2017-10,1
G2G,2017-10,2,2,2,,,,,,,,,,,,,,,,,,,,,1,,G2G,2017-10,1
firstep,2017-07,3,3,3,,1,,,,,,,,,,,,,,,,,,,1,,,,
benkyriakou,2017-05,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,
JIEUNGO,2017-02,14,14,13,,,,,,,,,,,,,,,,,,,,,,,,,
lukecaputo,2017-10,6,6,6,,,,,,,,,,,,,,,,,,,,,1,,lukecaputo,2017-10,1
perlancar,2017-04,41,41,26,3,3,,,,,,,,,,,,,,,,,,,6,,perlancar,2017-04,6
microjrm,2017-08,3,3,3,,,,,,,,,,,,,,,,,,,,,1,,microjrm,2017-08,1
bwaldo,2017-03,3,3,3,,,,,,,,,,,,,,,,,,,,,1,,bwaldo,2017-03,1
herbpolly,2017-05,8,6,3,,,,,,,,,,,,,,,,,,,,,1,,herbpolly,2017-05,1
JoshEdgell,2017-08,1568,379,337,,2,,,,,145,0,0,550,10067,2013,524,145,0,0,560,9872,1967,538,8,6,JoshEdgell,2017-08,5
woogang73,2017-01,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,woogang73,2017-01,2
arturopkmn,2017-01,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,arturopkmn,2017-01,1
AaronRodrigues,2017-11,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,AaronRodrigues,2017-11,1
binzh93,2017-11,29,29,29,,,,,,,,,,,,,,,,,,,,,1,,binzh93,2017-11,1
Gilyan,2017-01,127,127,123,,,,,,,,,,,,,,,,,,,,,5,,Gilyan,2017-01,5
Arjen012,2017-05,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
chaossy,2017-03,6,6,6,,1,,,,,,,,,,,,,,,,,,,3,,chaossy,2017-03,3
marshmallow0319,2017-04,6,2,2,,,,,,,1,0,0,4,6,1,3,1,0,0,4,6,1,3,1,1,marshmallow0319,2017-04,1
AleksandrMihhailov,2017-03,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
tafryn,2017-03,7,7,4,,,,,,,,,,,,,,,,,,,,,,,,,
Shar-It,2017-08,38,24,20,,,,,4,6,4,0,0,8,180,36,12,4,0,0,14,210,38,14,,,,,
Akshayvs,2017-10,21,10,10,,,,,,,4,0,0,5,454,87,11,5,0,0,11,818,179,22,,,,,
ldunbar3,2017-07,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,ldunbar3,2017-07,1
emily-vo,2017-02,27,27,23,,,,,,,,,,,,,,,,,,,,,4,,emily-vo,2017-02,3
wonglkd,2017-01,1,1,1,,,,,,,1,0,0,3,283,0,5,,,,,,,,1,1,wonglkd,2017-01,1
CustomerSupport,2017-10,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
piotrMocz,2017-12,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
wugang33,2017-02,7,7,7,,,,,,,,,,,,,,,,,,,,,1,,wugang33,2017-02,1
bkfwebdev,2017-07,4,4,4,,,,,,,,,,,,,,,,,,,,,2,,bkfwebdev,2017-07,6
Steini1984,2017-05,8,8,7,,,,,,,,,,,,,,,,,,,,,,,,,
nyergler,2017-04,225,105,62,2,8,,2,1,,,,,,,,,,,,,,,,2,,nyergler,2017-04,2
vatevr,2017-01,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
KiKu25,2017-08,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
cyberluisda,2017-06,65,24,19,,,,,,,9,0,0,45,733,110,15,7,0,0,41,659,84,13,1,3,cyberluisda,2017-06,2
Jorden0205,2017-01,5,5,5,,,,,,,,,,,,,,,,,,,,,1,,Jorden0205,2017-01,1
johankcarlsson,2017-12,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
mujker,2017-10,2,2,2,,,,,,,,,,,,,,,,,,,,,1,,mujker,2017-10,1
niblius,2017-10,1,1,1,,,,,,,,,,,,,,,,,,,,,,,niblius,2017-10,1
LEE2020,2017-07,8,8,8,,,,,,,,,,,,,,,,,,,,,3,,LEE2020,2017-07,5
gabrielinaciodemello,2017-08,2,2,1,,,,,,,,,,,,,,,,,,,,,,,gabrielinaciodemello,2017-08,3
unsignedlinux,2017-01,7,7,7,,1,,,,,,,,,,,,,,,,,,,1,,unsignedlinux,2017-01,1
revilo,2017-05,2,2,2,,,,,,,,,,,,,,,,,,,,,1,,revilo,2017-05,2
cyberpunx,2017-11,21,4,4,,,,,,4,,,,,,,,,,,,,,,,,,,
itamanini,2017-06,3,2,2,,,,,,,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1,1,itamanini,2017-06,1
lammermann,2017-10,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
elegant1225,2017-03,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,
yuuuking,2017-08,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,yuuuking,2017-08,1
kdbertel,2017-03,57,57,49,,,,,,,,,,,,,,,,,,,,,,,,,
DarthRatz,2017-04,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,DarthRatz,2017-04,1
neaggarwMS,2017-12,201,2,3,,,,,,,,,,,,,,,,,,,,,1,,,,
samcarter8,2017-12,19,19,15,2,3,2,7,,,2,0,0,2,31,0,3,2,0,0,2,31,0,3,,1,,,
OrganizacionMarioGuisadoClase,2017-03,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
lucascassiano,2017-02,13,13,13,,,,,,,,,,,,,,,,,,,,,3,,lucascassiano,2017-02,3
Kafcal,2017-12,60,58,48,,,,,,,2,0,0,2,402,0,2,2,0,0,2,402,0,2,,2,Kafcal,2017-12,1
vaincoach,2017-03,2,2,2,,,,,,,,,,,,,,,,,,,,,1,,vaincoach,2017-03,1
wtrocki,2017-01,177,142,94,2,3,1,14,1,1,8,0,0,8,536,392,25,8,9,6,16,239,354,26,7,3,wtrocki,2017-01,6
yaBliznyk,2017-05,3,3,3,,,,,,,,,,,,,,,,,,,,,1,,yaBliznyk,2017-05,1
ppavon,2017-11,4,4,2,1,,,,,1,2,0,0,3,284,257,2,2,0,0,3,284,257,2,,1,,,
RickWoltheus,2017-12,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,RickWoltheus,2017-12,2
pennucci,2017-05,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,
andrelago13,2017-11,3,3,3,,1,,,,,,,,,,,,,,,,,,,1,,andrelago13,2017-11,2
emaraschio,2017-02,9,9,9,,3,,,,,,,,,,,,,,,,,,,1,,emaraschio,2017-02,3
kartty,2017-02,109,109,93,,,,,,,,,,,,,,,,,,,,,5,,kartty,2017-02,8
t-hiroyoshi,2017-05,1,0,1,,,,,,,,,,,,,,,,,,,,,1,,t-hiroyoshi,2017-05,3
anujnimkar,2017-12,2,2,2,,,,,,,,,,,,,,,,,,,,,1,,anujnimkar,2017-12,1
Alexacc73,2017-03,88,88,79,,,,,,,,,,,,,,,,,,,,,2,,Alexacc73,2017-03,2
ScutEthan,2017-03,3,3,3,,,,,,,,,,,,,,,,,,,,,1,,ScutEthan,2017-03,2
sopwithsnipe,2017-04,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,
hzy033212,2017-12,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,hzy033212,2017-12,2
KaldonXY,2017-11,19,19,10,,,,,6,3,,,,,,,,,,,,,,,2,,KaldonXY,2017-11,3
RuanAzevedo,2017-09,148,46,32,,1,,13,2,3,18,0,0,61,7049,6264,181,18,0,0,67,976,1338,68,,,,,
acquagarden,2017-01,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
dsebastien,2017-12,16,16,14,2,,,,,,,,,,,,,,,,,,,,,,,,
meechanism,2017-11,7,7,7,,1,,,,,,,,,,,,,,,,,,,2,,meechanism,2017-11,2
MaevaTecher,2017-09,57,57,56,,,,,,,,,,,,,,,,,,,,,3,,MaevaTecher,2017-09,2
aditya1702,2017-08,25,25,22,,1,,,,,,,,,,,,,,,,,,,,,,,
XIE7654,2017-01,6,6,6,,,,,,,,,,,,,,,,,,,,,2,,XIE7654,2017-01,11
albertyw,2017-07,206,130,71,4,4,,8,5,10,,,,,,,,,,,,,,,1,,albertyw,2017-07,1
Alove13,2017-12,4,4,4,,,,,,,,,,,,,,,,,,,,,1,,Alove13,2017-12,1
steveyx,2017-11,11,11,11,,,,,,,,,,,,,,,,,,,,,1,,steveyx,2017-11,1
GurudathTS,2017-03,10,10,7,,,,,,,,,,,,,,,,,,,,,,,GurudathTS,2017-03,1
ArminNaish,2017-07,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,,
nachoi,2017-10,76,76,65,,4,,,4,,,,,,,,,,,,,,,,3,,nachoi,2017-10,2
martin-georgiev,2017-08,2,2,2,,1,,,,,,,,,,,,,,,,,,,2,,martin-georgiev,2017-08,2
Mingohe,2017-01,6,6,6,,,,,,,,,,,,,,,,,,,,,2,,Mingohe,2017-01,2
csh8130,2017-11,48,48,47,,,,,,,1,0,0,1,21,0,1,1,0,0,1,21,0,1,7,1,csh8130,2017-11,2
pmem,2017-10,351,351,159,33,158,,771,47,31,171,0,0,207,56172,30274,1535,174,812,72,243,34050,8386,1445,4,16,,,
netceler,2017-02,40,18,7,2,,2,,,,,,,,,,,,,,,,,,1,,netceler,2017-02,1
EVismante,2017-10,112,110,110,,,,,,,2,0,0,2,0,0,8,2,0,0,2,0,0,8,,2,,,
SKURInc,2017-09,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,SKURInc,2017-09,1
millteacher,2017-01,29,29,26,,,,,,,,,,,,,,,,,,,,,9,,millteacher,2017-01,11
afrikanhut,2017-09,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,afrikanhut,2017-09,1
EssexUniversityMCTS,2017-07,140,90,76,3,10,,10,5,4,11,0,0,41,1738,437,131,13,3,0,45,1740,438,133,,1,,,
