"","acq_firmyr_patent_count","acq_firmyr_fcitations10_total","acq_firmyr_complexity_mean","acq_firmyr_originality_mean","success","fyear","after","acq_emp","acq_xrd","acq_at","acq_ch","acq_ni","acq_leverage1","acq_sic","tar_emp","tar_xrd","tar_at","tar_ch","tar_leverage1","tar_firmyr_patent_count","tar_firmyr_fcitations10_total","tar_firmyr_generality_mean","tar_firmyr_originality_mean"
"4081",2,198,3.971023,0.3617322,1,1992,0,0.961,2.311,43.462,10.215,5.363,0.0056141,3842,0.34,1.724,28.392,0.026,0,NA,NA,NA,NA
"4082",9,638,4.336853,0.4956501,1,1993,0,1.187,3.556,54.638,14.636,7.379,0.0060398,3842,0.4,2.708,44.629,2.857,0,2,171,0.7166456,0.5333334
"4083",10,570,4.622955,0.4256612,1,1994,0,1.078,4.794,58.917,12.384,4.741,0.0068741,3842,0.491,3.848,69.412,0.62,0.0057627,NA,NA,NA,NA
"4084",12,966,4.353828,0.4470877,1,1995,0,1.181,7.077,78.039,16.127,11.677,0.0063814,3842,0.55,4.705,82.876,0.287,0.0359815,1,108,0.4887955,0
"4085",10,419,3.788308,0.273662,1,1996,0,1.217,9.328,143.947,65.257,15.339,0.0039806,3842,0.577,5.751,98.078,3.041,0.0266115,NA,NA,NA,NA
"4086",9,349,4.662867,0.5200039,1,1997,0,1.565,10.768,184.232,15.707,20.316,0.0038158,3842,NA,NA,121.416,2.121,0.0084256,1,36,0.3768116,0.3478991
"4087",17,987,5.427439,0.140796,1,1993,0,1.898,NA,298.148,66.157,-69.891,0.104921,7372,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4088",16,1119,5.405528,0.2500543,1,1994,0,1.111,61.76,244.996,68.193,-12.177,0.0046491,7372,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4089",21,989,5.48043,0.1578072,1,1995,0,0.938,45.086,255.587,74.682,14.285,0.0025862,7372,0.109,4.348,4.82,2.399,0,NA,NA,NA,NA
"4090",20,934,5.337727,0.0997848,1,1996,0,0.8,55.173,192.702,52.359,-107.96,0,7372,0.171,21.861,32.333,19.445,0,NA,NA,NA,NA
"4091",NA,NA,NA,NA,1,1994,0,1.2,NA,77.558,2.046,4.852,0.0041517,8090,1.079,0,126.967,2.026,0.0317405,NA,NA,NA,NA
"4092",NA,NA,NA,NA,1,1995,0,2,0,163.998,30.181,6.114,0.0034757,8090,1.669,0,172.05,7.624,0.0263877,NA,NA,NA,NA
"4093",NA,NA,NA,NA,1,1996,0,3.125,0,374.08,19.881,16.025,0.0055175,8090,2.684,0,302.72,1.446,0.0408595,NA,NA,NA,NA
"4094",NA,NA,NA,NA,1,1997,0,8.83,0,695.34,5.4,36.977,0.0029065,8090,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4095",144,2915,5.257429,0.4699053,1,1992,0,64.1,545,5458,66,-156,0.050568,3714,4.708,NA,174.019,0.085,0.034479,NA,NA,NA,NA
"4096",136,2876,5.25958,0.4852301,1,1993,0,61.2,514,5336,79,195,0.0642804,3714,6.5,7.779,303.436,48.875,0.0090629,NA,NA,NA,NA
"4097",145,2397,5.129282,0.4616772,1,1994,0,64.175,552,5636,109,333,0.0495032,3714,7,7.125,335.551,45.314,0.0012696,NA,NA,NA,NA
