appyear,classId,patent,nonutility,n_claims,n_bcites,n_fcites,n_nplcites,complexity,originality,generality
2000,510,"6150317",0,5,3,1,0,6.05181,0,0
2000,510,"6150319",0,5,2,1,0,6.284265,0,0
2000,514,"6150359",0,65,7,3,0,7.420599,0,.48
2000,514,"6150365",0,1,6,5,12,8.655172,0,.4058384
2000,514,"6150410",0,30,12,10,6,7.029918,.1527778,0
2000,524,"6150438",0,16,2,2,0,7.002013,0,0
2000,548,"6150534",0,8,2,2,1,8.112245,.5,.48
2000,323,"6150803",0,62,23,44,8,5.521593,0,.0867769
2000,323,"6150804",0,14,4,8,2,5.137773,0,.3844445
2000,324,"6150821",0,8,7,0,2,5.709976,0,0
2000,326,"6150839",0,5,8,50,2,4.798286,.21875,.3995245
2000,341,"6150965",0,8,1,6,0,5.597584,0,.1975309
2000,365,"6151247",0,19,3,63,0,4.823891,0,.1420119
2000,396,"6151449",0,4,9,1,0,5.554822,.21875,0
2000,99,"6152021",0,20,40,4,3,5.884929,.5247999,.526077
2000,165,"6152213",0,3,23,20,0,6.537692,.5413223,.5262966
2000,280,"6152470",0,2,3,6,0,5.567032,.4444444,.21875
2000,312,"6152552",0,1,27,3,1,6.029947,.1326531,.21875
2000,439,"6152753",0,15,23,9,0,6.247149,.0831758,0
2000,252,"6153126",0,22,20,38,0,5.514894,.1049383,0
2000,428,"6153316",0,6,10,3,7,5.785989,.58,.4688091
2000,430,"6153344",0,5,4,1,0,5.502319,0,.5
2000,435,"6153414",0,5,0,1,3,5.282153,.4444444,0
2000,438,"6153486",0,16,3,3,0,7.046102,0,.1049383
2000,438,"6153492",0,22,4,8,0,5.451381,0,.3800001
2000,438,"6153500",0,4,9,0,3,6.261422,.1975309,.2777778
2000,438,"6153529",0,38,8,6,0,5.518701,.53125,.5119259
2000,502,"6153553",0,8,10,1,1,6.014743,0,0
2000,510,"6153575",0,18,4,4,0,5.885019,0,0
2000,548,"6153764",0,6,12,1,10,5.772029,0,0
2000,556,"6153780",0,1,3,0,2,5.533906,0,0
2000,257,"6153905",0,1,10,3,2,6.449269,.1800001,0
2000,324,"6154033",0,15,5,0,0,6.233892,.4444444,.5740154
2000,326,"6154048",0,26,20,23,2,4.947747,.4986149,.0928019
2000,365,"6154401",0,34,10,11,0,5.103868,0,.3692476
2000,365,"6154403",0,14,19,7,2,5.454798,.099723,.0831792
2000,365,"6154418",0,19,5,43,0,5.317901,0,0
2000,365,"6154419",0,34,2,25,0,5.240722,.5,.0665874
2000,396,"6154616",0,18,41,1,2,5.730543,.5000001,.4056122
2000,137,"6155287",0,8,4,4,0,5.088457,.375,.3199999
2000,165,"6155340",0,3,7,14,0,5.856468,0,.231111
2000,220,"6155451",0,19,9,4,0,6.315503,.375,.64
2000,312,"6155659",0,10,12,2,0,4.632378,.62,.3199999
2000,439,"6155846",0,12,7,2,0,5.849942,.4081632,.2975206
2000,134,"6156126",0,19,2,3,0,5.551551,.5,.1975309
2000,204,"6156177",0,4,13,3,15,6.173293,.4861111,.5490015
2000,426,"6156364",0,22,8,3,0,5.932414,.21875,.48
2000,430,"6156461",0,11,0,7,1,6.556748,.7222222,.4897959
2000,430,"6156468",0,11,5,69,0,5.423477,0,.3140496
2000,430,"6156471",0,35,8,7,0,5.028991,0,0
2000,438,"6156622",0,4,24,0,0,7.070375,0,.1284185
2000,504,"6156702",0,9,2,6,3,7.769813,0,.0928019
2000,510,"6156717",0,9,1,3,0,6.268136,0,0
2000,516,"6156808",0,13,10,38,1,5.668794,.4897959,.4444444
2000,521,"6156812",0,25,2,15,0,5.8483,0,0
2000,548,"6156905",0,6,2,28,32,5.74754,0,0
2000,549,"6156911",0,44,1,1,0,5.589008,0,.21875
2000,361,"6157532",0,8,17,28,0,5.929761,.5546875,.5067282
2000,365,"6157561",0,6,7,1,0,5.624637,0,.0820409
2000,365,"6157564",0,13,4,2,1,5.89373,0,.53125
2000,365,"6157566",0,22,18,2,0,6.019891,.4296875,0
2000,369,"6157598",0,15,43,5,0,6.149632,.5354246,.5141777
2000,372,"6157660",0,27,21,22,14,5.291009,.2906574,.5697959
2000,386,"6157768",0,6,5,0,0,5.740445,0,.4444444
2000,396,"6157782",0,6,22,4,0,5.63414,.0867769,.2636719
2000,399,"6157804",0,16,9,6,0,6.239271,0,0
2000,399,"6157806",0,10,7,9,0,6.239224,.4489796,.6457545
2000,711,"6157993",0,19,10,17,2,5.40887,0,0
2000,99,"6158329",0,12,13,2,0,6.082757,.5619835,.2770083
2000,123,"6158413",0,13,5,9,1,5.986029,0,.1975309
2000,137,"6158466",0,18,40,3,1,2.754185,.5123967,.4977778
2000,166,"6158514",0,30,8,5,0,4.881327,0,.0399833
2000,229,"6158651",0,11,24,6,0,4.72447,0,.244898
2000,239,"6158672",0,21,11,0,0,6.019196,0,0
2000,242,"6158682",0,2,2,2,0,5.435021,0,0
2000,280,"6158774",0,13,0,2,0,4.161058,.3199999,.5
2000,396,"6158904",0,5,9,0,0,5.063334,.375,.21875
2000,477,"6159129",0,4,30,6,0,5.631803,.5511111,.5015844
2000,493,"6159136",0,49,11,3,0,5.7084,.48,.6111111
